2025-09-19 08:50:00,469 [ERROR] IB Error reqId=159468, code=504, msg=Not connected
2025-09-19 08:50:00,469 [ERROR] IB Error reqId=159468, code=504, msg=Not connected
2025-09-19 08:50:00,469 [ERROR] IB Error reqId=159469, code=504, msg=Not connected
2025-09-19 08:50:00,469 [ERROR] IB Error reqId=159469, code=504, msg=Not connected
2025-09-19 08:50:00,469 [ERROR] IB Error reqId=159470, code=504, msg=Not connected
2025-09-19 08:50:00,469 [ERROR] IB Error reqId=159470, code=504, msg=Not connected
2025-09-19 08:50:00,469 [ERROR] IB Error reqId=159471, code=504, msg=Not connected
2025-09-19 08:50:00,469 [ERROR] IB Error reqId=159471, code=504, msg=Not connected
2025-09-19 08:50:00,469 [ERROR] IB Error reqId=159472, code=504, msg=Not connected
2025-09-19 08:50:00,469 [ERROR] IB Error reqId=159472, code=504, msg=Not connected
2025-09-19 08:50:00,469 [ERROR] IB Error reqId=159473, code=504, msg=Not connected
2025-09-19 08:50:00,469 [ERROR] IB Error reqId=159473, code=504, msg=Not connected
2025-09-19 08:50:00,469 [ERROR] IB Error reqId=159474, code=504, msg=Not connected
2025-09-19 08:50:00,469 [ERROR] IB Error reqId=159474, code=504, msg=Not connected
2025-09-19 08:50:00,469 [ERROR] IB Error reqId=159475, code=504, msg=Not connected
2025-09-19 08:50:00,469 [ERROR] IB Error reqId=159475, code=504, msg=Not connected
2025-09-19 08:50:00,469 [ERROR] IB Error reqId=159476, code=504, msg=Not connected
2025-09-19 08:50:00,469 [ERROR] IB Error reqId=159476, code=504, msg=Not connected
2025-09-19 08:50:00,469 [ERROR] IB Error reqId=159477, code=504, msg=Not connected
2025-09-19 08:50:00,469 [ERROR] IB Error reqId=159477, code=504, msg=Not connected
2025-09-19 08:50:00,469 [ERROR] IB Error reqId=159478, code=504, msg=Not connected
2025-09-19 08:50:00,469 [ERROR] IB Error reqId=159478, code=504, msg=Not connected
2025-09-19 08:50:00,469 [ERROR] IB Error reqId=159479, code=504, msg=Not connected
2025-09-19 08:50:00,469 [ERROR] IB Error reqId=159479, code=504, msg=Not connected
2025-09-19 08:50:00,469 [ERROR] IB Error reqId=159480, code=504, msg=Not connected
2025-09-19 08:50:00,469 [ERROR] IB Error reqId=159480, code=504, msg=Not connected
2025-09-19 08:50:00,469 [ERROR] IB Error reqId=159481, code=504, msg=Not connected
2025-09-19 08:50:00,469 [ERROR] IB Error reqId=159481, code=504, msg=Not connected
2025-09-19 08:50:00,469 [ERROR] IB Error reqId=159482, code=504, msg=Not connected
2025-09-19 08:50:00,469 [ERROR] IB Error reqId=159482, code=504, msg=Not connected
2025-09-19 08:50:00,469 [ERROR] IB Error reqId=159483, code=504, msg=Not connected
2025-09-19 08:50:00,469 [ERROR] IB Error reqId=159483, code=504, msg=Not connected
2025-09-19 08:50:00,470 [ERROR] IB Error reqId=159484, code=504, msg=Not connected
2025-09-19 08:50:00,470 [ERROR] IB Error reqId=159484, code=504, msg=Not connected
2025-09-19 08:50:00,470 [ERROR] IB Error reqId=159485, code=504, msg=Not connected
2025-09-19 08:50:00,470 [ERROR] IB Error reqId=159485, code=504, msg=Not connected
2025-09-19 08:50:00,470 [ERROR] IB Error reqId=159486, code=504, msg=Not connected
2025-09-19 08:50:00,470 [ERROR] IB Error reqId=159486, code=504, msg=Not connected
2025-09-19 08:50:00,470 [ERROR] IB Error reqId=159487, code=504, msg=Not connected
2025-09-19 08:50:00,470 [ERROR] IB Error reqId=159487, code=504, msg=Not connected
2025-09-19 08:50:00,470 [ERROR] IB Error reqId=159488, code=504, msg=Not connected
2025-09-19 08:50:00,470 [ERROR] IB Error reqId=159488, code=504, msg=Not connected
2025-09-19 08:50:00,470 [ERROR] IB Error reqId=159489, code=504, msg=Not connected
2025-09-19 08:50:00,470 [ERROR] IB Error reqId=159489, code=504, msg=Not connected
2025-09-19 08:50:00,470 [ERROR] IB Error reqId=159490, code=504, msg=Not connected
2025-09-19 08:50:00,470 [ERROR] IB Error reqId=159490, code=504, msg=Not connected
2025-09-19 08:50:00,470 [ERROR] IB Error reqId=159491, code=504, msg=Not connected
2025-09-19 08:50:00,470 [ERROR] IB Error reqId=159491, code=504, msg=Not connected
2025-09-19 08:50:00,470 [ERROR] IB Error reqId=159492, code=504, msg=Not connected
2025-09-19 08:50:00,470 [ERROR] IB Error reqId=159492, code=504, msg=Not connected
2025-09-19 08:50:00,470 [ERROR] IB Error reqId=159493, code=504, msg=Not connected
2025-09-19 08:50:00,470 [ERROR] IB Error reqId=159493, code=504, msg=Not connected
2025-09-19 08:50:00,470 [ERROR] IB Error reqId=159494, code=504, msg=Not connected
2025-09-19 08:50:00,470 [ERROR] IB Error reqId=159494, code=504, msg=Not connected
2025-09-19 08:50:00,470 [ERROR] IB Error reqId=159495, code=504, msg=Not connected
2025-09-19 08:50:00,470 [ERROR] IB Error reqId=159495, code=504, msg=Not connected
2025-09-19 08:50:00,470 [ERROR] IB Error reqId=159496, code=504, msg=Not connected
2025-09-19 08:50:00,470 [ERROR] IB Error reqId=159496, code=504, msg=Not connected
2025-09-19 08:50:00,470 [ERROR] IB Error reqId=159497, code=504, msg=Not connected
2025-09-19 08:50:00,470 [ERROR] IB Error reqId=159497, code=504, msg=Not connected
2025-09-19 08:50:00,470 [ERROR] IB Error reqId=159498, code=504, msg=Not connected
2025-09-19 08:50:00,470 [ERROR] IB Error reqId=159498, code=504, msg=Not connected
2025-09-19 08:50:00,470 [ERROR] IB Error reqId=159499, code=504, msg=Not connected
2025-09-19 08:50:00,470 [ERROR] IB Error reqId=159499, code=504, msg=Not connected
2025-09-19 08:50:00,470 [ERROR] IB Error reqId=159500, code=504, msg=Not connected
2025-09-19 08:50:00,470 [ERROR] IB Error reqId=159500, code=504, msg=Not connected
2025-09-19 08:50:00,470 [ERROR] IB Error reqId=159501, code=504, msg=Not connected
2025-09-19 08:50:00,470 [ERROR] IB Error reqId=159501, code=504, msg=Not connected
2025-09-19 08:50:00,470 [ERROR] IB Error reqId=159502, code=504, msg=Not connected
2025-09-19 08:50:00,470 [ERROR] IB Error reqId=159502, code=504, msg=Not connected
2025-09-19 08:50:00,470 [ERROR] IB Error reqId=159503, code=504, msg=Not connected
2025-09-19 08:50:00,470 [ERROR] IB Error reqId=159503, code=504, msg=Not connected
2025-09-19 08:50:00,470 [ERROR] IB Error reqId=159504, code=504, msg=Not connected
2025-09-19 08:50:00,470 [ERROR] IB Error reqId=159504, code=504, msg=Not connected
2025-09-19 08:50:00,470 [ERROR] IB Error reqId=159505, code=504, msg=Not connected
2025-09-19 08:50:00,470 [ERROR] IB Error reqId=159505, code=504, msg=Not connected
2025-09-19 08:50:00,470 [ERROR] IB Error reqId=159506, code=504, msg=Not connected
2025-09-19 08:50:00,471 [ERROR] IB Error reqId=159506, code=504, msg=Not connected
2025-09-19 08:50:00,471 [ERROR] IB Error reqId=159507, code=504, msg=Not connected
2025-09-19 08:50:00,471 [ERROR] IB Error reqId=159507, code=504, msg=Not connected
2025-09-19 08:50:00,471 [ERROR] IB Error reqId=159508, code=504, msg=Not connected
2025-09-19 08:50:00,471 [ERROR] IB Error reqId=159508, code=504, msg=Not connected
2025-09-19 08:50:00,471 [ERROR] IB Error reqId=159509, code=504, msg=Not connected
2025-09-19 08:50:00,471 [ERROR] IB Error reqId=159509, code=504, msg=Not connected
2025-09-19 08:50:00,471 [ERROR] IB Error reqId=159510, code=504, msg=Not connected
2025-09-19 08:50:00,471 [ERROR] IB Error reqId=159510, code=504, msg=Not connected
2025-09-19 08:50:00,471 [ERROR] IB Error reqId=159511, code=504, msg=Not connected
2025-09-19 08:50:00,471 [ERROR] IB Error reqId=159511, code=504, msg=Not connected
2025-09-19 08:50:00,471 [ERROR] IB Error reqId=159512, code=504, msg=Not connected
2025-09-19 08:50:00,471 [ERROR] IB Error reqId=159512, code=504, msg=Not connected
2025-09-19 08:50:00,471 [ERROR] IB Error reqId=159513, code=504, msg=Not connected
2025-09-19 08:50:00,471 [ERROR] IB Error reqId=159513, code=504, msg=Not connected
2025-09-19 08:50:00,471 [ERROR] IB Error reqId=159514, code=504, msg=Not connected
2025-09-19 08:50:00,471 [ERROR] IB Error reqId=159514, code=504, msg=Not connected
2025-09-19 08:50:00,471 [ERROR] IB Error reqId=159515, code=504, msg=Not connected
2025-09-19 08:50:00,471 [ERROR] IB Error reqId=159515, code=504, msg=Not connected
2025-09-19 08:50:00,471 [ERROR] IB Error reqId=159516, code=504, msg=Not connected
2025-09-19 08:50:00,471 [ERROR] IB Error reqId=159516, code=504, msg=Not connected
2025-09-19 08:50:00,471 [ERROR] IB Error reqId=159517, code=504, msg=Not connected
2025-09-19 08:50:00,471 [ERROR] IB Error reqId=159517, code=504, msg=Not connected
2025-09-19 08:50:00,471 [ERROR] IB Error reqId=159518, code=504, msg=Not connected
2025-09-19 08:50:00,471 [ERROR] IB Error reqId=159518, code=504, msg=Not connected
2025-09-19 08:50:00,471 [ERROR] IB Error reqId=159519, code=504, msg=Not connected
2025-09-19 08:50:00,471 [ERROR] IB Error reqId=159519, code=504, msg=Not connected
2025-09-19 08:50:00,471 [ERROR] IB Error reqId=159520, code=504, msg=Not connected
2025-09-19 08:50:00,471 [ERROR] IB Error reqId=159520, code=504, msg=Not connected
2025-09-19 08:50:00,471 [ERROR] IB Error reqId=159521, code=504, msg=Not connected
2025-09-19 08:50:00,471 [ERROR] IB Error reqId=159521, code=504, msg=Not connected
2025-09-19 08:50:00,471 [ERROR] IB Error reqId=159522, code=504, msg=Not connected
2025-09-19 08:50:00,471 [ERROR] IB Error reqId=159522, code=504, msg=Not connected
2025-09-19 08:50:00,471 [ERROR] IB Error reqId=159523, code=504, msg=Not connected
2025-09-19 08:50:00,471 [ERROR] IB Error reqId=159523, code=504, msg=Not connected
2025-09-19 08:50:00,471 [ERROR] IB Error reqId=159524, code=504, msg=Not connected
2025-09-19 08:50:00,471 [ERROR] IB Error reqId=159524, code=504, msg=Not connected
2025-09-19 08:50:00,471 [ERROR] IB Error reqId=159525, code=504, msg=Not connected
2025-09-19 08:50:00,471 [ERROR] IB Error reqId=159525, code=504, msg=Not connected
2025-09-19 08:50:00,471 [ERROR] IB Error reqId=159526, code=504, msg=Not connected
2025-09-19 08:50:00,471 [ERROR] IB Error reqId=159526, code=504, msg=Not connected
2025-09-19 08:50:00,471 [ERROR] IB Error reqId=159527, code=504, msg=Not connected
2025-09-19 08:50:00,471 [ERROR] IB Error reqId=159527, code=504, msg=Not connected
2025-09-19 08:50:00,472 [ERROR] IB Error reqId=159528, code=504, msg=Not connected
2025-09-19 08:50:00,472 [ERROR] IB Error reqId=159528, code=504, msg=Not connected
2025-09-19 08:50:00,472 [ERROR] IB Error reqId=159529, code=504, msg=Not connected
2025-09-19 08:50:00,472 [ERROR] IB Error reqId=159529, code=504, msg=Not connected
2025-09-19 08:50:00,472 [ERROR] IB Error reqId=159530, code=504, msg=Not connected
2025-09-19 08:50:00,472 [ERROR] IB Error reqId=159530, code=504, msg=Not connected
